company,title,location,regions,salary_min,salary_max
recruiterflow staging,"vp, sales","bangalore, karnataka","india, karnataka, bangalore",,
sks enterpprises,vp - finance,"bangalore, karnataka","india, karnataka, bangalore",,
anantaresource,vp sales,"bangalore, karnataka","india, karnataka, bangalore",2000000.0,4500000.0
unnati,vp finance,"delhi, india","india, delhi",2000000.0,2500000.0
unnati,vp - hr,"bangalore, karnataka","india, karnataka, bangalore",1200000.0,1500000.0
smart ship hub,vp of engineering,"pune, maharashtra","india, maharashtra, pune",,
unnati,vp-finance,"ahmedabad, gujarat","india, gujarat, ahmedabad",1200000.0,1500000.0
mm staffing & career consultants,vp - sales,"mumbai, maharashtra","india, maharashtra, mumbai",,
praveza consultancy private limited,vp outbound,"ahmedabad, gujarat","india, gujarat, ahmedabad",3000000.0,3000000.0
jefferies financial group,vp-sre,"pune, maharashtra","india, maharashtra, pune",,
recex,vp - banking,"kolkata, west bengal","india, west bengal, kolkata",,
hsbc,vp - procurement,"chennai, tamil nadu","india, tamil nadu, chennai",,
qrata,vp product,"pune, maharashtra","india, maharashtra, pune",3500000.0,6000000.0
iqlect,vp of sales,"bangalore, karnataka","india, karnataka, bangalore",3000000.0,5000000.0
oravel stays private,vp sales,"delhi, india","india, delhi",,
qrata,vp marketing,"bangalore, karnataka","india, karnataka, bangalore",4000000.0,6000000.0
qrata,vp of technology,"mumbai, maharashtra","india, maharashtra, mumbai",,
amit global solution,vp hr,"pune, maharashtra","india, maharashtra, pune",1800000.0,2400000.0
qrata,vp marketing,"delhi, india","india, delhi",2000000.0,4000000.0
helpnow,vp of technology,"mumbai, maharashtra","india, maharashtra, mumbai",1200000.0,2400000.0
multi recruit,vp- finance,"bangalore, karnataka","india, karnataka, bangalore",3000000.0,3500000.0
omic healthcare,vp engineering,"mumbai, maharashtra","india, maharashtra, mumbai",600000.0,1800000.0
career one stop,vp-sales,"noida, ghaziabad","india, uttar pradesh, ghaziabad, noida",2000000.0,4000000.0
taskus,vp hr,"gurgaon, haryana","india, haryana, gurgaon",,
barclays,vp - cmp,india,india,,
mufg global service ,vp - accounting,"bangalore, karnataka","india, karnataka, bangalore",,
dhruv corporate hr solutions,vp finance,"ahmedabad, gujarat","india, gujarat, ahmedabad",,
hirestar job bank,vp sales,"kochi, ernakulam","india, kerala, ernakulam, kochi",2400000.0,3000000.0
capwise financial services,vp / senior vp - debt capital market,"mumbai, maharashtra","india, maharashtra, mumbai",,
belhem india pvt ltd,personal assistant to vp,"banashankari, bangalore","india, karnataka, bangalore, banashankari",400000.0,500000.0
vrinda international,vp – sales (diagnostics),"jaipur, rajasthan","india, rajasthan, jaipur",1300000.0,1700000.0
weekday ai,avp / vp sales,india,india,,
weekday ai,avp / vp sales,india,india,,
mbr partners,vp sales - africa,india,india,,
forte recruitment consultants,vp marketing (it),"kochi, ernakulam","india, kerala, ernakulam, kochi",3000000.0,3500000.0
helpnow,vp of aggregation - india,"mumbai, maharashtra","india, maharashtra, mumbai",700000.0,1200000.0
photon group,vp technical sales,india,india,,
recex,vp-sales diagnostics,"delhi, india","india, delhi",,
qrata,vp - wealth management,"bangalore, karnataka","india, karnataka, bangalore",1200000.0,2500000.0
hsbc,vp change analyst,"bangalore, karnataka","india, karnataka, bangalore",,
vinayak outsourcing works,vp - (power plant ),"visakhapatnam, andhra pradesh","india, andhra pradesh, visakhapatnam",,
dpdgroup,vp enterprise sales,india,india,,
barclays,vp decision analyst,"noida, ghaziabad","india, uttar pradesh, ghaziabad, noida",,
recex,vp-sales & diagnostics,"delhi, india","india, delhi",,
talent hr networks private limited,vp of java development,"pune, maharashtra","india, maharashtra, pune",,
sks enterpprises,vp - investment banking,india,india,,
deutsche bank,vp - scrum master,"pune, maharashtra","india, maharashtra, pune",,
recex,accounts receivables vp,"mumbai, maharashtra","india, maharashtra, mumbai",,
myoperator - voicetree technologies,vp-lead engineer,india,india,3500000.0,4500000.0
unnati,vp demand generation,"delhi, india","india, delhi",2000000.0,6000000.0
hunarstreet technologies pvt ltd,vp sponsership sales,"delhi, india","india, delhi",1000000.0,1500000.0
unnati,regional vp - lending,"delhi, india","india, delhi",600000.0,1500000.0
alliancebernstein lp,vp vendor management,"pune, maharashtra","india, maharashtra, pune",,
weekday ai,avp / vp sales,"pune, maharashtra","india, maharashtra, pune",,
qrata,avp/vp sales,"mumbai, maharashtra","india, maharashtra, mumbai",,
corrohealth,vp rcm operations,"noida, ghaziabad","india, uttar pradesh, ghaziabad, noida",,
deutsche bank,"origination coverage, vp",india,india,,
deutsche bank,"risk lead, vp",india,india,,
deutsche bank,"operations expert, vp",india,india,,
deutsche bank,"lead engineer, vp",india,india,,
barclays,engineering lead -vp,india,india,,
easyship,vp of client services,"bangalore, karnataka","india, karnataka, bangalore",,
mufg global service ,vp - ifrs controllership,"bangalore, karnataka","india, karnataka, bangalore",,
deutsche bank,"lead engineer, vp",india,india,,
barclays,vp regulatory oversight,india,india,,
barclays,business analyst-vp,india,india,,
deutsche bank ag,product owner vp,india,india,,
deutsche bank,"vp,csg credit",india,india,,
deutsche bank,"senior engineer, vp","pune, maharashtra","india, maharashtra, pune",,
deutsche bank,"product owner, vp",india,india,,
4s advisory,vp - wealth management,"chennai, tamil nadu","india, tamil nadu, chennai",,
4s advisory,vp - wealth management,"chennai, tamil nadu","india, tamil nadu, chennai",,
barclays,vp - data designer,"pune, maharashtra","india, maharashtra, pune",,
deutsche bank,"lead engineer, vp","pune, maharashtra","india, maharashtra, pune",,
barclays,vp financial control,india,india,,
natwest group,"principal engineer, vp","bangalore, karnataka","india, karnataka, bangalore",,
black turtle,vp- private banker,"bangalore, karnataka","india, karnataka, bangalore",,
msci inc.,vp - platform engineer,"goregaon east, mumbai","india, maharashtra, mumbai, goregaon east",,
staffice global private limited,vp domestic sales,"kolkata, west bengal","india, west bengal, kolkata",,
deutsche bank,"vp, senior engineer","bangalore, karnataka","india, karnataka, bangalore",,
quick turtle,vp/ avp / manager,"kolkata, west bengal","india, west bengal, kolkata",,
quick turtle,vp/ avp / manager,"chennai, tamil nadu","india, tamil nadu, chennai",,
quick turtle,vp/ avp / manager,"vadodara, gujarat","india, gujarat, vadodara",,
deutsche bank,"product owner, vp","pune, maharashtra","india, maharashtra, pune",,
deutsche bank,"vp, senior engineer","mumbai, maharashtra","india, maharashtra, mumbai",,
standard chartered bank,vp- automation testing,"bangalore, karnataka","india, karnataka, bangalore",,
natwest group,"devops engineer, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest group,"software engineer, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest digitalx,"software engineer, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest digitalx,"scrum master, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest digitalx,"software engineer, vp","chennai, tamil nadu","india, tamil nadu, chennai",,
natwest digitalx,"principal engineer, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest digitalx,"solution architect, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest group,"software engineer, vp","gurgaon, haryana","india, haryana, gurgaon",,
deutsche bank,vp - product owner,"pune, maharashtra","india, maharashtra, pune",,
standard chartered bank,vp- automation testing,"chennai, tamil nadu","india, tamil nadu, chennai",,
hdfc life,vp- governance dppm,"mumbai, maharashtra","india, maharashtra, mumbai",,
natwest digitalx,"software engineer, vp","chennai, tamil nadu","india, tamil nadu, chennai",,
natwest digitalx,"testing manager, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest digitalx,devops engineer - vp,"bangalore, karnataka","india, karnataka, bangalore",,
natwest digitalx,"scrum master, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest group,"data analyst, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest digitalx,"solution architect, vp","chennai, tamil nadu","india, tamil nadu, chennai",,
natwest digitalx,"enterprise architect, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest digitalx,"software engineer, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest digitalx,"tooling engineer, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest digitalx,"scrum master, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest group,"production manager, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest digitalx,"principal engineer, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest digitalx,"software engineer, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest digitalx,"business analyst, vp","chennai, tamil nadu","india, tamil nadu, chennai",,
natwest digitalx,"software engineer, vp","gurgaon, haryana","india, haryana, gurgaon",,
natwest digitalx,"development manager, vp","bangalore, karnataka","india, karnataka, bangalore",,
natwest digitalx,"testing manager, vp","chennai, tamil nadu","india, tamil nadu, chennai",,
